New Shipment ID,Old Shipment ID,Original Parcel Type
290,9.18E+14,Parcel
291,9.18E+14,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
292,6.59E+11,Parcel
293,9.18E+14,Parcel
294,6.82E+11,Parcel
294,6.82E+11,Parcel
294,6.82E+11,Parcel
294,6.82E+11,Parcel
294,6.82E+11,Parcel
295,6.82E+11,Parcel
295,6.82E+11,Parcel
295,6.82E+11,Parcel
296,6.82E+11,Parcel
297,6.82E+11,Parcel
298,9.18E+14,Parcel
299,9.18E+14,Parcel
300,9.18E+14,Parcel
301,6.82E+11,Parcel
302,6.59E+11,Parcel
303,9.18E+14,Parcel
303,9.18E+14,Parcel
304,9.18E+14,Parcel
305,6.82E+11,Parcel
306,6.59E+11,Parcel
307,9.18E+14,Parcel
308,9.18E+14,Parcel
308,9.18E+14,Parcel
308,9.18E+14,Parcel
309,FOX0114894,LTL
310,FOX0114910,LTL
311,9.18E+14,Parcel
312,6.59E+11,Parcel
313,9.18E+14,Parcel
314,9.18E+14,Parcel
314,9.18E+14,Parcel
314,9.18E+14,Parcel
314,9.18E+14,Parcel
314,9.18E+14,Parcel
314,9.18E+14,Parcel
315,9.18E+14,Parcel
316,6.82E+11,Parcel
316,6.82E+11,Parcel
316,6.82E+11,Parcel
316,6.82E+11,Parcel
316,6.82E+11,Parcel
316,6.82E+11,Parcel
316,6.82E+11,Parcel
317,9.18E+14,Parcel
318,6.59E+11,Parcel
319,9.18E+14,Parcel
320,6.59E+11,Parcel
321,9.18E+14,Parcel
322,9.18E+14,Parcel
323,6.59E+11,Parcel
324,6.59E+11,Parcel
325,9.18E+14,Parcel
326,9.18E+14,Parcel
326,9.18E+14,Parcel
326,9.18E+14,Parcel
326,9.18E+14,Parcel
326,9.18E+14,Parcel
326,9.18E+14,Parcel
326,9.18E+14,Parcel
327,9.18E+14,Parcel
327,9.18E+14,Parcel
328,FOX0113074,LTL
329,9.18E+14,Parcel
330,FOX0114221,LTL
331,6.59E+11,Parcel
332,6.82E+11,Parcel
333,9.18E+14,Parcel
334,9.18E+14,Parcel
334,9.18E+14,Parcel
335,6.59E+11,Parcel
336,9.18E+14,Parcel
337,6.59E+11,Parcel
338,9.18E+14,Parcel
339,9.18E+14,Parcel
340,FOX0116329,LTL
341,9.18E+14,Parcel
342,FOX0124025,LTL
343,6.59E+11,Parcel
344,9.18E+14,Parcel
345,6.59E+11,Parcel
346,9.18E+14,Parcel
347,6.59E+11,Parcel
348,6.59E+11,Parcel
348,6.59E+11,Parcel
349,6.59E+11,Parcel
350,9.18E+14,Parcel
351,9.18E+14,Parcel
352,6.82E+11,Parcel
353,FOX0118017,LTL
354,FOX0124562,LTL
355,FOX0129010,LTL
356,6.59E+11,Parcel
356,6.59E+11,Parcel
356,6.59E+11,Parcel
356,6.59E+11,Parcel
356,6.59E+11,Parcel
356,6.59E+11,Parcel
356,6.59E+11,Parcel
356,6.59E+11,Parcel
356,6.59E+11,Parcel
356,6.59E+11,Parcel
357,9.18E+14,Parcel
358,9.18E+14,Parcel
358,9.18E+14,Parcel
358,9.18E+14,Parcel
359,6.82E+11,Parcel
360,9.18E+14,Parcel
360,9.18E+14,Parcel
360,9.18E+14,Parcel
361,9.18E+14,Parcel
362,FOX0126339,LTL
363,9.18E+14,Parcel
364,FOX0121260,LTL
365,9.18E+14,Parcel
365,9.18E+14,Parcel
365,9.18E+14,Parcel
365,9.18E+14,Parcel
365,9.18E+14,Parcel
365,9.18E+14,Parcel
365,9.18E+14,Parcel
365,9.18E+14,Parcel
365,9.18E+14,Parcel
365,9.18E+14,Parcel
366,9.18E+14,Parcel
366,9.18E+14,Parcel
367,9.18E+14,Parcel
368,9.18E+14,Parcel
369,6.82E+11,Parcel
370,9.18E+14,Parcel
371,FOX0112084,LTL
372,9.18E+14,Parcel
373,6.59E+11,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
374,9.18E+14,Parcel
375,9.18E+14,Parcel
375,9.18E+14,Parcel
376,9.18E+14,Parcel
377,9.18E+14,Parcel
377,9.18E+14,Parcel
377,9.18E+14,Parcel
377,9.18E+14,Parcel
378,9.18E+14,Parcel
378,9.18E+14,Parcel
378,9.18E+14,Parcel
379,9.18E+14,Parcel
380,9.18E+14,Parcel
381,9.18E+14,Parcel
382,9.18E+14,Parcel
383,9.18E+14,Parcel
384,FOX0115777,LTL
385,9.18E+14,Parcel
386,9.18E+14,Parcel
386,9.18E+14,Parcel
387,6.82E+11,Parcel
388,9.18E+14,Parcel
389,9.18E+14,Parcel
390,9.18E+14,Parcel
391,9.18E+14,Parcel
392,FOX0117118,LTL
393,FOX0116394,LTL
394,9.18E+14,Parcel
395,FOX0110554,LTL
396,9.18E+14,Parcel
396,9.18E+14,Parcel
396,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
397,9.18E+14,Parcel
398,9.18E+14,Parcel
398,9.18E+14,Parcel
398,9.18E+14,Parcel
398,9.18E+14,Parcel
398,9.18E+14,Parcel
398,9.18E+14,Parcel
398,9.18E+14,Parcel
